Year,Status,Award,Media,Media2,Name,Url,Error
2000,Finalist,,American Radio Works,,Massacre at Cuska,http://www.americanradioworks.org/features/kosovo/index.htm,200
2000,Finalist,,APB News,,Crimes of the Century,http://www.apbnews.com/crimesofthecentury/timeline.html,200
2000,Finalist,,APB News,,Keeping POW/MIA Secrets,http://www.apbnews.com/newscenter/indepth/pow/,200
2000,Finalist,,APB News,,College Community Crime Risk,http://www.apbnews.com/safetycenter/family/campus/,200
2000,Finalist,,Atlantic Unbound,,,http://www.theatlantic.com,200
2000,Finalist,,BankRate.com,,Recovering from a Natural Disaster,http://www.bankrate.com/brm/news/special/floyd.asp,200
2000,Finalist,,BayArea.com,,Birth of a Ballpark,http://sports.bayarea.com/baseball/pacbellpark/,200
2000,Finalist,,BeliefNet,,Memorial Day,http://www.beliefnet.com/story/26/story_2655_1.html,200
2000,Finalist,,BusinessWeek Online,,Indonesia in Transition,http://www.businessweek.com/bwdaily/dnflash/oct1999/nf91019c.htm,200
2000,Finalist,,BusinessWeek Online,,Best B-Schools,http://www.businessweek.com/bschools/,200
2000,Finalist,,BusinessWeek Online,,,http://www.businessweek.com,200
2000,Finalist,,Central Europe Review,,,http://www.ce-review.org,200
2000,Finalist,,Chicago Tribune,,Jelly Roll Morton Web Special,"http://chicagotribune.com/ws/front/0,1413,77,00.html",timeout
2000,Finalist,,CNET,,Napster Wildfire,http://www.apbnews.com/newscenter/indepth/pow/,200
2000,Finalist,,CNET,,,http://www.news.com,200
2000,Finalist,,Consumer Reports,,Online Shopping Guide,http://www.consumerreports.org/Special/Samples/Reports/0001erat.htm,200
2000,Finalist,,DigitalJournalist.org,,Bitter Passage: Kent State &amp; the Fall of Saigon,http://digitaljournalist.org/issue0005/bpintro.htm,verified
2000,Finalist,,Financial Times,,,http://www.ft.com,200
2000,Finalist,,Insure.com,,,http://www.insure.com,301
2000,Finalist,,MSNBC,,Terminal Planet,http://www.msnbc.com/news/TERMINALPLANET_Front.asp,200
2000,Finalist,,Rediff.com,,Nightmare of Flight 814,http://www.rediff.com/news/iacrisis.htm,200
2000,Finalist,,Richmond.com,,Homeless and the Hurricane,http://www.richmond.com/output.cfm?id=3981,200
2000,Finalist,,Salon,,Columbine Martyrdom,http://www.salon.com/news/feature/1999/09/30/bernall/,200
2000,Finalist,,Smart Money,,MarketMap,http://www.smartmoney.com/marketmap,200
